text,intent
what is my overall average,average
am i maintaining good attendance,attendance
have my scores gone up,trend
do my marks indicate a problem,risk
where did i perform the best,highest_subject
are my marks improving,trend
do i need academic attention,risk
is there a warning in my performance,risk
how much did i score overall,average
compare my recent and previous performance,trend
bye,exit
tell me how i am doing in my studies,performance
did i perform better in my second internal,trend
show my performance,performance
what should i do to improve my marks,recommendation
which subject has my worst score,lowest_subject
i want to see my marks,marks
how am i doing academically,performance
which subject did i score the least in,lowest_subject
compare my marks over time,trend
am i doing better than before,trend
which areas need improvement,recommendation
what subject do i need to work on,lowest_subject
what areas need my attention,recommendation
what is my top performing subject,highest_subject
show whether my marks are improving or declining,trend
tell me my attendance percentage,attendance
what should i do about my weak performance,recommendation
how are my marks changing,trend
i'm finished,exit
which areas should i give more attention to,recommendation
good night,exit
can you list my marks,marks
tell me all my scores,marks
what do you suggest,recommendation
tell me about my current performance,performance
how well did i score overall,average
what is my best score,highest_subject
how good is my current performance,performance
show me how my marks are changing,trend
how regular is my attendance,attendance
how should i prepare to improve my marks,recommendation
what is my average,average
do i have good attendance,attendance
what is my attendance,attendance
is my academic performance concerning,risk
which subject did i do the best in,highest_subject
which subject has the least marks,lowest_subject
where am i performing poorly,lowest_subject
what areas should i work on,recommendation
give me my current performance,performance
have my marks improved recently,trend
show me my marks details,marks
what should i work harder on,recommendation
do i have any academic risk,risk
which subject has the weakest result,lowest_subject
how am i doing in my studies,performance
i don't have any more questions,exit
which subject has my worst mark,lowest_subject
what study advice can you give me,recommendation
how can i perform better,recommendation
is there an improvement in my marks,trend
what is my lowest scoring subject,lowest_subject
display my marks for each subject,marks
what scores did i get in each subject,marks
give me steps to improve my academic performance,recommendation
how am i doing,performance
how much did i score on average,average
show my progress,trend
give me my marks details,marks
what changes should i make,recommendation
tell me which subject i scored highest in,highest_subject
show my current performance,performance
how good am i doing in my studies,performance
show my marks,marks
tell me where my performance is weakest,lowest_subject
tell me if my performance is concerning,risk
how good am i academically,performance
show me my average marks,average
tell me my highest mark,highest_subject
evaluate my studies,performance
is my performance improving over time,trend
what do you think about my performance,performance
stop the assistant,exit
how should i improve my weak subjects,recommendation
display all my marks,marks
what did i score in each subject,marks
i want to end this conversation,exit
which area should i focus on,recommendation
how am i performing,performance
what is my overall academic average,average
how is my academic performance,performance
which subject needs my attention,recommendation
am i academically at risk,risk
are my marks improving recently,trend
what happened to my marks recently,trend
display my scores,marks
where are my lowest marks,lowest_subject
do my marks indicate any risk,risk
is there anything wrong with my academic performance,risk
what is my current academic status,performance
which subject am i struggling with,lowest_subject
how did my marks change between internal exams,trend
how is my performance,performance
what is my maximum score,highest_subject
where did i get my lowest score,lowest_subject
is my attendance good,attendance
what steps can i take to improve,recommendation
what is my average performance,average
show my scores,marks
show my subject scores,marks
give me an overview of my performance,performance
what is the current state of my performance,performance
what is my highest mark,highest_subject
what areas should i concentrate on,recommendation
compare my first and second internal marks,trend
am i improving compared with my previous exam,trend
are my marks a cause for concern,risk
what is my strongest subject in terms of marks,highest_subject
how would you rate my studies,performance
which subject do i perform best in,highest_subject
show my overall attendance percentage,attendance
which subject has the minimum marks,lowest_subject
can you evaluate my studies,performance
end our conversation,exit
what is my worst mark,lowest_subject
what is my best mark,highest_subject
should i worry about my academic performance,risk
show my improvement,trend
where should i improve,recommendation
give me my performance report,performance
am i performing well in my studies,performance
should i be concerned about my marks,risk
which subject has the maximum marks,highest_subject
what advice do you have for me,recommendation
is my academic performance risky,risk
should i be worried about my performance,risk
show my marks trend,trend
what is my risk level,risk
what do you recommend i improve,recommendation
show my score trend,trend
has my performance improved,trend
which subjects need more attention,recommendation
am i doing better recently,trend
can i see my marks,marks
how many classes did i attend,attendance
tell me my best performing subject,highest_subject
does my performance indicate risk,risk
i am done asking questions,exit
how has my score changed over time,trend
close the chat,exit
how much risk do i have,risk
what can i do to get better marks,recommendation
i am done,exit
what is my average percentage,average
how good is my performance,performance
how can i improve,recommendation
tell me my overall average mark,average
give me an assessment of my current performance,performance
give me an analysis of my performance,performance
what is my minimum mark,lowest_subject
should i be worried about my results,risk
is my performance putting me at risk,risk
which subject has the lowest marks,lowest_subject
which subject has my best score,highest_subject
what can you say about my academic performance,performance
let's end this session,exit
tell me the subject where i scored the least,lowest_subject
which subject has my lowest score,lowest_subject
what happened to my scores recently,trend
am i attending enough classes,attendance
am i performing well,performance
could i be at risk academically,risk
what should i concentrate on improving,recommendation
has my performance gone up or down,trend
list my marks,marks
exit,exit
list my subject marks,marks
what is my attendance percentage,attendance
how are my marks changing recently,trend
what percentage of classes am i attending,attendance
what is my average marks,average
what is my lowest score,lowest_subject
give me an overview of how i am doing,performance
can you show my scores,marks
what did i score,marks
is there a risk in my performance,risk
have my marks gotten better,trend
which subject did i score the most marks in,highest_subject
how is my performance changing,trend
how are my results overall,performance
how did my performance change from before,trend
have a good day,exit
compare my internal marks,trend
how have my marks changed over time,trend
am i attending classes regularly,attendance
which subject am i strongest at,highest_subject
show my performance trend,trend
which subject requires more attention,recommendation
what should i focus more on,recommendation
where do i need to improve,recommendation
do my marks suggest that i am at risk,risk
give me my scores,marks
how is my attendance,attendance
can you show all my marks,marks
am i improving,trend
am i getting better at my subjects,trend
how has my performance changed,trend
tell me my highest score,highest_subject
what is my overall academic score,average
should i be concerned about my performance,risk
am i performing better now,trend
how much attendance do i have,attendance
should i be concerned about my results,risk
what should i focus on,recommendation
do my results show any risk,risk
which subject should i focus on improving,lowest_subject
