text,intent
which subject did i score the lowest in,lowest_subject
which subject is my weakest in terms of marks,lowest_subject
which subject has my poorest score,lowest_subject
which subject did i perform the worst in,lowest_subject
which subject has the lowest marks,lowest_subject
which subject is my weakest academically,lowest_subject
which subject has the weakest result,lowest_subject
tell me the subject where i scored the least,lowest_subject
what should i do to improve my marks,recommendation
how should i improve my weak subjects,recommendation
what steps can i take to improve,recommendation
what changes should i make to my study habits,recommendation
how can i increase my scores,recommendation
what should i do about my weak performance,recommendation
give me steps to improve my academic performance,recommendation
what can i do to perform better in my exams,recommendation
how should i prepare to improve my marks,recommendation
what actions should i take to improve,recommendation
how did my marks change between exams,trend
did my marks increase from the previous exam,trend
did i score better in the latest exam,trend
how has my score changed over time,trend
compare my current marks with my previous marks,trend
did my performance improve from internal 1 to internal 2,trend
am i improving compared with my previous exam,trend
what changed in my marks between exams,trend
has my performance gone up or down,trend
show whether my marks are improving or declining,trend
i want to end this conversation,exit
let's end this session,exit
i am leaving now,exit
stop the assistant,exit
end our conversation,exit
i don't have any more questions,exit
i am done asking questions,exit
that's all for now,exit
close the chat,exit
how am i doing in my studies,performance
how good is my current performance,performance
what is my current academic status,performance
give me an overview of how i am doing,performance
how would you describe my current performance,performance
am i performing well in my studies,performance
what is the current state of my performance,performance
tell me how i am doing overall,performance
give me an assessment of my current performance,performance
how strong is my overall academic performance,performance
how did my marks change between internal exams,trend
did i perform better in my second internal,trend
has my performance improved since my previous exam,trend
compare my first and second internal marks,trend
did my scores increase in the latest exam,trend
how much have my marks changed since the last exam,trend
am i improving compared with my previous results,trend
did my academic performance get better over time,trend
has my performance improved compared with my earlier exams,trend
show my current performance,performance
tell me my current performance,performance
what is my current performance,performance
give me my current performance,performance
how is my academic performance,performance
tell me about my current performance,performance
how would you describe my performance,performance
what is my performance status,performance
has my performance improved,trend
did my performance change over time,trend
how did my performance change from before,trend
is my performance concerning,risk
should i be concerned about my results,risk
does my performance indicate risk,risk
is there any risk in my academic performance,risk
should i worry about my academic performance,risk
which subject has my maximum score,highest_subject
where did i get my highest marks,highest_subject
which subject has my best result,highest_subject
which subject did i score the most marks in,highest_subject
which subject has my greatest score,highest_subject
